Nom de la catégorie
Alpinisme de roche
Alpinisme de neige
Alpinisme mixte
Escalade sportive
Randonnée du vertige
Terrain d'aventure
Escalade de bloc en extérieur
Escalade de bloc en intérieur
Grande voie équipée
Grande voie en terrain d'aventure
Escalade artificielle
Cascade de glace
Ski de randonnée
Ski-alpinisme
Randonnée pédestre
Randonnée hors-sentier
Randonnée glaciaire
Randonée GR
Trail
Marche nordique
Raquettes à neige
Canyoning
Spéléologie
Escalade de fissure
Escalade traditionnelle
Speed climbing
Randonnée alpine
Randonnée côtière
Randonnée en moyenne montagne
Randonnée en haute montagne
Randonnée nocturne
Randonnée avec bivouac
Escalade urbaine
Stage d'autonomie en montagne
